GEO_ID,NAME,MHHI
1400000US24001000100,"Census Tract 1, Allegany County, Maryland",48125
1400000US24001000200,"Census Tract 2, Allegany County, Maryland",49714
1400000US24001000300,"Census Tract 3, Allegany County, Maryland",45547
1400000US24001000400,"Census Tract 4, Allegany County, Maryland",44271
1400000US24001000500,"Census Tract 5, Allegany County, Maryland",24470
1400000US24001000600,"Census Tract 6, Allegany County, Maryland",39865
1400000US24001000700,"Census Tract 7, Allegany County, Maryland",28853
1400000US24001000800,"Census Tract 8, Allegany County, Maryland",26990
1400000US24001001000,"Census Tract 10, Allegany County, Maryland",24844
1400000US24001001100,"Census Tract 11, Allegany County, Maryland",35313
1400000US24001001200,"Census Tract 12, Allegany County, Maryland",66855
1400000US24001001300,"Census Tract 13, Allegany County, Maryland",48704
1400000US24001001401,"Census Tract 14.01, Allegany County, Maryland",73115
1400000US24001001402,"Census Tract 14.02, Allegany County, Maryland",53393
1400000US24001001502,"Census Tract 15.02, Allegany County, Maryland",48409
1400000US24001001503,"Census Tract 15.03, Allegany County, Maryland",47188
1400000US24001001600,"Census Tract 16, Allegany County, Maryland",60455
1400000US24001001700,"Census Tract 17, Allegany County, Maryland",41237
1400000US24001001800,"Census Tract 18, Allegany County, Maryland",36290
1400000US24001001900,"Census Tract 19, Allegany County, Maryland",54338
1400000US24001002000,"Census Tract 20, Allegany County, Maryland",42427
1400000US24001002100,"Census Tract 21, Allegany County, Maryland",46735
1400000US24001002200,"Census Tract 22, Allegany County, Maryland",40915
1400000US24003701101,"Census Tract 7011.01, Anne Arundel County, Maryland",119801
1400000US24003701102,"Census Tract 7011.02, Anne Arundel County, Maryland",87878
1400000US24003701200,"Census Tract 7012, Anne Arundel County, Maryland",130036
1400000US24003701300,"Census Tract 7013, Anne Arundel County, Maryland",119844
1400000US24003701400,"Census Tract 7014, Anne Arundel County, Maryland",108438
1400000US24003702100,"Census Tract 7021, Anne Arundel County, Maryland",123419
1400000US24003702204,"Census Tract 7022.04, Anne Arundel County, Maryland",138816
1400000US24003702205,"Census Tract 7022.05, Anne Arundel County, Maryland",104795
1400000US24003702206,"Census Tract 7022.06, Anne Arundel County, Maryland",106642
1400000US24003702208,"Census Tract 7022.08, Anne Arundel County, Maryland",111057
1400000US24003702209,"Census Tract 7022.09, Anne Arundel County, Maryland",151944
1400000US24003702300,"Census Tract 7023, Anne Arundel County, Maryland",124158
1400000US24003702402,"Census Tract 7024.02, Anne Arundel County, Maryland",107283
1400000US24003702500,"Census Tract 7025, Anne Arundel County, Maryland",88482
1400000US24003702601,"Census Tract 7026.01, Anne Arundel County, Maryland",98953
1400000US24003702602,"Census Tract 7026.02, Anne Arundel County, Maryland",140712
1400000US24003702701,"Census Tract 7027.01, Anne Arundel County, Maryland",91496
1400000US24003702702,"Census Tract 7027.02, Anne Arundel County, Maryland",161406
1400000US24003706101,"Census Tract 7061.01, Anne Arundel County, Maryland",86944
1400000US24003706301,"Census Tract 7063.01, Anne Arundel County, Maryland",71693
1400000US24003706302,"Census Tract 7063.02, Anne Arundel County, Maryland",91875
1400000US24003706401,"Census Tract 7064.01, Anne Arundel County, Maryland",69945
1400000US24003706402,"Census Tract 7064.02, Anne Arundel County, Maryland",71979
1400000US24003706500,"Census Tract 7065, Anne Arundel County, Maryland",88854
1400000US24003706600,"Census Tract 7066, Anne Arundel County, Maryland",106064
1400000US24003706700,"Census Tract 7067, Anne Arundel County, Maryland",96944
1400000US24003707001,"Census Tract 7070.01, Anne Arundel County, Maryland",92298
1400000US24003707002,"Census Tract 7070.02, Anne Arundel County, Maryland",95852
1400000US24003708001,"Census Tract 7080.01, Anne Arundel County, Maryland",106875
1400000US24003708004,"Census Tract 7080.04, Anne Arundel County, Maryland",66769
1400000US24003730100,"Census Tract 7301, Anne Arundel County, Maryland",102700
1400000US24003730203,"Census Tract 7302.03, Anne Arundel County, Maryland",46779
1400000US24003730204,"Census Tract 7302.04, Anne Arundel County, Maryland",65163
1400000US24003730300,"Census Tract 7303, Anne Arundel County, Maryland",86568
1400000US24003730401,"Census Tract 7304.01, Anne Arundel County, Maryland",74868
1400000US24003730402,"Census Tract 7304.02, Anne Arundel County, Maryland",58911
1400000US24003730502,"Census Tract 7305.02, Anne Arundel County, Maryland",82404
1400000US24003730504,"Census Tract 7305.04, Anne Arundel County, Maryland",89274
1400000US24003730505,"Census Tract 7305.05, Anne Arundel County, Maryland",50784
1400000US24003730506,"Census Tract 7305.06, Anne Arundel County, Maryland",44831
1400000US24003730601,"Census Tract 7306.01, Anne Arundel County, Maryland",174271
1400000US24003730603,"Census Tract 7306.03, Anne Arundel County, Maryland",121016
1400000US24003730604,"Census Tract 7306.04, Anne Arundel County, Maryland",146295
1400000US24003730700,"Census Tract 7307, Anne Arundel County, Maryland",118433
1400000US24003730800,"Census Tract 7308, Anne Arundel County, Maryland",171106
1400000US24003730901,"Census Tract 7309.01, Anne Arundel County, Maryland",140048
1400000US24003730902,"Census Tract 7309.02, Anne Arundel County, Maryland",166591
1400000US24003731002,"Census Tract 7310.02, Anne Arundel County, Maryland",105161
1400000US24003731003,"Census Tract 7310.03, Anne Arundel County, Maryland",91750
1400000US24003731004,"Census Tract 7310.04, Anne Arundel County, Maryland",104559
1400000US24003731102,"Census Tract 7311.02, Anne Arundel County, Maryland",121250
1400000US24003731103,"Census Tract 7311.03, Anne Arundel County, Maryland",114730
1400000US24003731104,"Census Tract 7311.04, Anne Arundel County, Maryland",105982
1400000US24003731105,"Census Tract 7311.05, Anne Arundel County, Maryland",97250
1400000US24003731201,"Census Tract 7312.01, Anne Arundel County, Maryland",130370
1400000US24003731202,"Census Tract 7312.02, Anne Arundel County, Maryland",101842
1400000US24003731203,"Census Tract 7312.03, Anne Arundel County, Maryland",125035
1400000US24003731204,"Census Tract 7312.04, Anne Arundel County, Maryland",82589
1400000US24003731303,"Census Tract 7313.03, Anne Arundel County, Maryland",101771
1400000US24003731306,"Census Tract 7313.06, Anne Arundel County, Maryland",88000
1400000US24003731307,"Census Tract 7313.07, Anne Arundel County, Maryland",90028
1400000US24003731308,"Census Tract 7313.08, Anne Arundel County, Maryland",89375
1400000US24003731309,"Census Tract 7313.09, Anne Arundel County, Maryland",78245
1400000US24003731310,"Census Tract 7313.10, Anne Arundel County, Maryland",96792
1400000US24003731311,"Census Tract 7313.11, Anne Arundel County, Maryland",105769
1400000US24003740102,"Census Tract 7401.02, Anne Arundel County, Maryland",105059
1400000US24003740103,"Census Tract 7401.03, Anne Arundel County, Maryland",113544
1400000US24003740104,"Census Tract 7401.04, Anne Arundel County, Maryland",97688
1400000US24003740105,"Census Tract 7401.05, Anne Arundel County, Maryland",62685
1400000US24003740201,"Census Tract 7402.01, Anne Arundel County, Maryland",80227
1400000US24003740203,"Census Tract 7402.03, Anne Arundel County, Maryland",128184
1400000US24003740303,"Census Tract 7403.03, Anne Arundel County, Maryland",98958
1400000US24003740304,"Census Tract 7403.04, Anne Arundel County, Maryland",95258
1400000US24003740305,"Census Tract 7403.05, Anne Arundel County, Maryland",92478
1400000US24003740400,"Census Tract 7404, Anne Arundel County, Maryland",
1400000US24003740500,"Census Tract 7405, Anne Arundel County, Maryland",110486
1400000US24003740601,"Census Tract 7406.01, Anne Arundel County, Maryland",76343
1400000US24003740602,"Census Tract 7406.02, Anne Arundel County, Maryland",64981
1400000US24003740603,"Census Tract 7406.03, Anne Arundel County, Maryland",67863
1400000US24003740701,"Census Tract 7407.01, Anne Arundel County, Maryland",92879
1400000US24003740702,"Census Tract 7407.02, Anne Arundel County, Maryland",108031
1400000US24003740800,"Census Tract 7408, Anne Arundel County, Maryland",104020
1400000US24003740900,"Census Tract 7409, Anne Arundel County, Maryland",90377
1400000US24003741000,"Census Tract 7410, Anne Arundel County, Maryland",142361
1400000US24003750101,"Census Tract 7501.01, Anne Arundel County, Maryland",55492
1400000US24003750102,"Census Tract 7501.02, Anne Arundel County, Maryland",54097
1400000US24003750201,"Census Tract 7502.01, Anne Arundel County, Maryland",46806
1400000US24003750202,"Census Tract 7502.02, Anne Arundel County, Maryland",75135
1400000US24003750203,"Census Tract 7502.03, Anne Arundel County, Maryland",67692
1400000US24003750300,"Census Tract 7503, Anne Arundel County, Maryland",80000
1400000US24003750400,"Census Tract 7504, Anne Arundel County, Maryland",93558
1400000US24003750801,"Census Tract 7508.01, Anne Arundel County, Maryland",94904
1400000US24003750803,"Census Tract 7508.03, Anne Arundel County, Maryland",57886
1400000US24003750804,"Census Tract 7508.04, Anne Arundel County, Maryland",63922
1400000US24003750900,"Census Tract 7509, Anne Arundel County, Maryland",62768
1400000US24003751000,"Census Tract 7510, Anne Arundel County, Maryland",68059
1400000US24003751102,"Census Tract 7511.02, Anne Arundel County, Maryland",59896
1400000US24003751103,"Census Tract 7511.03, Anne Arundel County, Maryland",60477
1400000US24003751200,"Census Tract 7512, Anne Arundel County, Maryland",97284
1400000US24003751400,"Census Tract 7514, Anne Arundel County, Maryland",103682
1400000US24003751500,"Census Tract 7515, Anne Arundel County, Maryland",71451
1400000US24003751600,"Census Tract 7516, Anne Arundel County, Maryland",81295
1400000US24003751700,"Census Tract 7517, Anne Arundel County, Maryland",172604
1400000US24003980000,"Census Tract 9800, Anne Arundel County, Maryland",
1400000US24003990000,"Census Tract 9900, Anne Arundel County, Maryland",
1400000US24005400100,"Census Tract 4001, Baltimore County, Maryland",49833
1400000US24005400200,"Census Tract 4002, Baltimore County, Maryland",76389
1400000US24005400400,"Census Tract 4004, Baltimore County, Maryland",114386
1400000US24005400500,"Census Tract 4005, Baltimore County, Maryland",157708
1400000US24005400600,"Census Tract 4006, Baltimore County, Maryland",85583
