GEO_ID,NAME,total,total.under25K,total.under25K.insured,total.under25K.insured.private,total.under25K.insured.public,total.under25K.uninsured,total.25Kto50K,total.25Kto50K.insured,total.25Kto50K.insured.private,total.25Kto50K.insured.public,total.25Kto50K.uninsured,total.50Kto75K,total.50Kto75K.insured,total.50Kto75K.insured.private,total.50Kto75K.insured.public,total.50Kto75K.uninsured,total.75Kto100K,total.75Kto100K.insured,total.75Kto100K.insured.private,total.75Kto100K.insured.public,total.75Kto100K.uninsured,total.100Kplus,total.100Kplus.insured,total.100Kplus.insured.private,total.100Kplus.insured.public,total.100Kplus.uninsured
1400000US24001000100,"Census Tract 1, Allegany County, Maryland",3488,586,468,176,446,118,815,667,463,406,148,1110,1053,899,311,57,280,273,252,66,7,697,686,672,98,11
1400000US24001000200,"Census Tract 2, Allegany County, Maryland",2804,445,428,169,313,17,843,771,507,554,72,655,655,620,119,0,352,339,335,70,13,509,509,474,68,0
1400000US24001000300,"Census Tract 3, Allegany County, Maryland",2455,455,403,106,396,52,769,738,603,409,31,424,386,290,113,38,391,391,360,65,0,416,369,369,93,47
1400000US24001000400,"Census Tract 4, Allegany County, Maryland",2747,496,496,196,415,0,644,595,392,455,49,485,446,419,127,39,304,276,262,49,28,818,786,688,120,32
1400000US24001000500,"Census Tract 5, Allegany County, Maryland",1780,709,601,122,547,108,346,287,169,174,59,225,167,144,98,58,128,114,89,74,14,372,372,271,147,0
1400000US24001000600,"Census Tract 6, Allegany County, Maryland",2729,774,767,301,591,7,581,561,371,359,20,837,837,743,202,0,193,193,170,65,0,344,327,327,70,17
1400000US24001000700,"Census Tract 7, Allegany County, Maryland",3648,1195,1015,232,906,180,1300,1187,388,952,113,519,511,397,233,8,516,499,344,209,17,118,118,106,47,0
1400000US24001000800,"Census Tract 8, Allegany County, Maryland",2232,927,870,168,814,57,624,558,177,456,66,412,375,249,181,37,167,159,132,45,8,102,102,102,15,0
1400000US24001001000,"Census Tract 10, Allegany County, Maryland",2391,828,768,241,747,60,932,829,251,667,103,262,219,189,131,43,228,200,158,63,28,141,133,126,7,8
1400000US24001001100,"Census Tract 11, Allegany County, Maryland",1249,302,297,99,259,5,349,311,140,213,38,312,200,162,43,112,117,117,117,28,0,169,169,155,62,0
1400000US24001001200,"Census Tract 12, Allegany County, Maryland",2996,442,366,179,253,76,474,416,264,268,58,562,562,465,243,0,489,489,374,228,0,1029,1021,959,233,8
1400000US24001001300,"Census Tract 13, Allegany County, Maryland",2105,380,361,159,286,19,430,415,314,204,15,513,495,449,129,18,409,404,389,93,5,373,365,339,26,8
1400000US24001001401,"Census Tract 14.01, Allegany County, Maryland",3793,365,365,128,323,0,547,526,365,351,21,688,573,472,269,115,509,509,424,181,0,1684,1533,1494,246,151
1400000US24001001402,"Census Tract 14.02, Allegany County, Maryland",1517,333,333,182,226,0,315,305,155,228,10,320,311,303,69,9,173,166,149,27,7,376,311,265,66,65
1400000US24001001502,"Census Tract 15.02, Allegany County, Maryland",1902,212,202,78,202,10,715,715,419,470,0,443,411,381,183,32,266,252,229,64,14,266,252,247,46,14
