GEOID,insured,uninsured,total
1400000US24001000100,3074,260,3334
1400000US24001000200,2500,278,2778
1400000US24001000300,2410,250,2660
1400000US24001000400,2766,270,3036
1400000US24001000500,2052,260,2312
1400000US24001000600,3028,271,3299
1400000US24001000700,2877,559,3436
1400000US24001000800,1841,197,2038
1400000US24001001000,1673,563,2236
1400000US24001001100,1598,132,1730
1400000US24001001200,2689,419,3108
1400000US24001001300,1960,194,2154
1400000US24001001401,3758,160,3918
1400000US24001001402,1344,126,1470
1400000US24001001502,1816,142,1958
1400000US24001001503,1785,174,1959
1400000US24001001600,1795,267,2062
1400000US24001001700,4073,291,4364
1400000US24001001800,5124,542,5666
1400000US24001001900,2215,304,2519
1400000US24001002000,4824,438,5262
1400000US24001002100,3331,398,3729
1400000US24001002200,3645,293,3938
1400000US24003701101,4124,140,4264
1400000US24003701102,6717,809,7526
1400000US24003701200,7674,613,8287
1400000US24003701300,7366,322,7688
1400000US24003701400,3386,192,3578
1400000US24003702100,6080,65,6145
1400000US24003702204,4032,167,4199
1400000US24003702205,4654,229,4883
1400000US24003702206,6229,679,6908
1400000US24003702208,6620,657,7277
1400000US24003702209,4163,188,4351
1400000US24003702300,5453,225,5678
1400000US24003702402,5549,361,5910
1400000US24003702500,5328,1362,6690
1400000US24003702601,5184,202,5386
1400000US24003702602,5569,353,5922
1400000US24003702701,4407,104,4511
1400000US24003702702,3493,79,3572
1400000US24003706101,3459,193,3652
1400000US24003706301,3504,620,4124
1400000US24003706302,3266,166,3432
1400000US24003706401,4693,1738,6431
1400000US24003706402,2641,207,2848
1400000US24003706500,4525,749,5274
1400000US24003706600,4602,440,5042
1400000US24003706700,792,3,795
1400000US24003707001,6310,274,6584
1400000US24003707002,4229,235,4464
1400000US24003708001,3518,230,3748
1400000US24003708004,4954,616,5570
1400000US24003730100,5965,767,6732
1400000US24003730203,4099,691,4790
1400000US24003730204,5560,679,6239
1400000US24003730300,2721,382,3103
1400000US24003730401,3683,485,4168
1400000US24003730402,4965,1083,6048
1400000US24003730502,5376,528,5904
1400000US24003730504,6828,540,7368
1400000US24003730505,3619,825,4444
1400000US24003730506,3584,669,4253
1400000US24003730601,6778,213,6991
1400000US24003730603,3592,141,3733
1400000US24003730604,6310,55,6365
1400000US24003730700,6433,328,6761
1400000US24003730800,2262,194,2456
1400000US24003730901,2326,129,2455
1400000US24003730902,3474,163,3637
1400000US24003731002,2979,225,3204
