GEOID,MHHI12,MHHI17
1400000US24001000100,45682,48125
1400000US24001000200,42712,49714
1400000US24001000300,31806,45547
1400000US24001000400,39583,44271
1400000US24001000500,28141,24470
1400000US24001000600,45343,39865
1400000US24001000700,27782,28853
1400000US24001000800,30128,26990
1400000US24001001000,24558,24844
1400000US24001001100,30273,35313
1400000US24001001200,63885,66855
1400000US24001001300,40772,48704
1400000US24001001401,60323,73115
1400000US24001001402,47708,53393
1400000US24001001502,53333,48409
1400000US24001001503,49081,47188
1400000US24001001600,44375,60455
1400000US24001001700,37003,41237
1400000US24001001800,27661,36290
1400000US24001001900,49960,54338
1400000US24001002000,52014,42427
1400000US24001002100,39677,46735
1400000US24001002200,39598,40915
1400000US24003701101,111897,119801
1400000US24003701102,91473,87878
1400000US24003701200,91875,130036
1400000US24003701300,113542,119844
1400000US24003701400,125304,108438
1400000US24003702100,108214,123419
1400000US24003702204,134891,138816
1400000US24003702205,96304,104795
1400000US24003702206,94135,106642
1400000US24003702208,100902,111057
1400000US24003702209,138818,151944
1400000US24003702300,125850,124158
1400000US24003702402,97481,107283
1400000US24003702500,70714,88482
1400000US24003702601,97866,98953
1400000US24003702602,126907,140712
1400000US24003702701,83698,91496
1400000US24003702702,133846,161406
1400000US24003706101,61702,86944
1400000US24003706301,67727,71693
1400000US24003706302,86964,91875
1400000US24003706401,62165,69945
1400000US24003706402,54583,71979
1400000US24003706500,67700,88854
1400000US24003706600,86827,106064
1400000US24003706700,118500,96944
1400000US24003707001,93834,92298
1400000US24003707002,96071,95852
1400000US24003708001,93438,106875
1400000US24003708004,64504,66769
1400000US24003730100,86125,102700
1400000US24003730203,34325,46779
1400000US24003730204,71308,65163
1400000US24003730300,61122,86568
1400000US24003730401,67964,74868
1400000US24003730402,53443,58911
1400000US24003730502,87804,82404
1400000US24003730504,77992,89274
1400000US24003730505,50483,50784
1400000US24003730506,38807,44831
1400000US24003730601,142314,174271
1400000US24003730603,113512,121016
1400000US24003730604,130865,146295
1400000US24003730700,114007,118433
1400000US24003730800,143438,171106
1400000US24003730901,112426,140048
1400000US24003730902,133333,166591
1400000US24003731002,111307,105161
1400000US24003731003,104896,91750
1400000US24003731004,90679,104559
1400000US24003731102,93182,121250
1400000US24003731103,101679,114730
1400000US24003731104,112784,105982
1400000US24003731105,94917,97250
1400000US24003731201,115671,130370
1400000US24003731202,95029,101842
1400000US24003731203,99275,125035
1400000US24003731204,83274,82589
1400000US24003731303,107517,101771
1400000US24003731306,104643,88000
1400000US24003731307,82629,90028
1400000US24003731308,73817,89375
1400000US24003731309,85556,78245
1400000US24003731310,98021,96792
1400000US24003731311,95459,105769
1400000US24003740102,91950,105059
1400000US24003740103,101795,113544
1400000US24003740104,89782,97688
1400000US24003740105,58318,62685
1400000US24017851100,101994,79167
1400000US24017851200,67500,81563
1400000US24017851301,124222,122314
1400000US24017851302,106447,114241
1400000US24017851400,123955,124411
1400000US24017851500,84423,91489
1400000US24017990000,,
1400000US24019970100,50461,57266
1400000US24019970200,52639,58651
1400000US24019970300,66000,63631
1400000US24019970400,42740,50145
1400000US24019970500,22589,24449
1400000US24019970600,42469,43468
1400000US24019970702,58904,62255
1400000US24019970804,61838,61971
1400000US24019970900,44464,55492
1400000US24019990000,,
1400000US24021740200,78691,85313
1400000US24021750100,51250,63155
1400000US24021750200,66063,78380
1400000US24021750300,41337,47120
1400000US24021750503,62741,52903
1400000US24021750504,64247,55096
1400000US24021750505,53622,60172
1400000US24021750506,105568,94250
1400000US24021750600,79589,90078
1400000US24021750701,91958,92500
1400000US24021750702,51683,50767
1400000US24021750801,48911,49329
1400000US24021750802,95625,98571
1400000US24021750803,86544,91596
1400000US24021751001,114102,95568
1400000US24021751002,76224,72231
1400000US24021751003,59398,64048
1400000US24021751004,95708,97524
1400000US24021751201,102013,110521
1400000US24021751202,83860,95263
1400000US24021751203,63295,89886
1400000US24021751301,91304,94659
1400000US24021751302,77422,87026
1400000US24021751600,88241,90900
1400000US24021751701,104091,100333
1400000US24021751702,111125,87292
1400000US24021751801,110463,120903
1400000US24021751802,108272,121033
1400000US24021751901,109275,109750
1400000US24021751902,97957,98354
1400000US24021751903,124286,130625
1400000US24021751904,112250,113594
1400000US24021752001,101857,116080
1400000US24021752101,140089,138526
1400000US24021752102,106992,102061
1400000US24021752201,90000,123750
1400000US24021752202,107721,144779
1400000US24021752204,131641,142773
1400000US24021752301,84756,89224
1400000US24021752302,87885,115000
1400000US24021752303,100114,113967
1400000US24021752501,91724,105583
1400000US24021752502,102841,97070
1400000US24021752601,114865,126307
1400000US24021752602,90972,102619
1400000US24021752603,107476,120478
1400000US24021752801,80417,84076
1400000US24021752802,95857,90234
1400000US24021752900,71932,65745
1400000US24021753001,78324,78021
1400000US24021753002,66797,64420
1400000US24021765100,50650,63237
1400000US24021766800,54601,69787
1400000US24021767500,71645,74225
1400000US24021767600,83618,85380
1400000US24021770700,85809,115977
1400000US24021772200,51591,54844
1400000US24021773500,85101,75167
1400000US24021775302,94525,96750
1400000US24021775400,57530,64516
1400000US24021775600,111250,125263
1400000US24023000100,44364,48583
1400000US24023000200,49974,49177
1400000US24023000300,46941,54250
1400000US24023000400,45893,47794
1400000US24023000500,55741,52019
1400000US24023000600,42069,47500
1400000US24023000700,36654,45250
1400000US24025301102,104861,127303
1400000US24025301105,88832,93114
1400000US24025301106,100183,104392
1400000US24025301107,66406,56865
1400000US24025301108,117096,135778
1400000US24025301201,68464,70536
1400000US24025301202,93077,84752
1400000US24025301204,82048,90000
1400000US24025301205,80568,78819
1400000US24025301301,68333,67313
1400000US24025301302,49818,49300
1400000US24025301401,69705,71962
1400000US24025301402,80000,78935
1400000US24025301601,45729,43758
1400000US24025301602,64797,75224
1400000US24025301702,77168,82857
1400000US24025301703,94338,105456
1400000US24025301704,74036,80647
1400000US24025302100,81042,102279
1400000US24025302200,73510,91750
1400000US24025302400,62792,55962
1400000US24025302801,71906,61081
1400000US24025302802,52336,57463
1400000US24025302901,28654,30114
1400000US24025302902,54495,50652
1400000US24025303101,96197,99461
1400000US24025303102,119706,124063
1400000US24025303201,100857,113549
1400000US24025303203,86250,77500
1400000US24025303204,74674,85811
1400000US24025303205,115458,135850
1400000US24025303206,91750,108295
1400000US24025303300,98241,93654
1400000US24025303400,103056,112321
1400000US24025303501,85807,86975
1400000US24025303502,97846,87652
1400000US24025303602,96830,118304
1400000US24025303603,120440,106526
1400000US24025303605,74356,66932
1400000US24025303606,129297,144261
1400000US24025303700,70718,97941
1400000US24025303801,66289,76071
1400000US24025303802,50268,82250
1400000US24025303803,69451,74923
1400000US24025303900,67993,77841
1400000US24025304101,91295,93246
1400000US24025304102,102380,96116
1400000US24025304201,107094,122760
1400000US24025304202,92035,106236
1400000US24025305100,77288,91447
1400000US24025305200,66500,74583
1400000US24025305300,67438,71406
1400000US24025306100,41461,58125
1400000US24025306200,49000,48494
1400000US24025306300,96667,103641
1400000US24025306400,94649,96840
1400000US24025306500,67708,73393
1400000US24027601103,122958,124447
1400000US24027601104,166065,185417
1400000US24027601105,93633,124212
1400000US24027601107,64844,88462
1400000US24027601108,108271,113281
1400000US24027601201,81263,101136
1400000US24027601203,119583,104975
1400000US24027601204,75791,92480
1400000US24027602100,154969,176848
1400000US24027602201,144338,155114
1400000US24027602202,101311,125029
1400000US24027602302,113021,118667
