GEOID,insured,uninsured,total
1400000US24001000100,3147,341,3488
1400000US24001000200,2707,102,2809
1400000US24001000300,2287,168,2455
1400000US24001000400,2634,148,2782
1400000US24001000500,1935,270,2205
1400000US24001000600,2712,50,2762
1400000US24001000700,3337,318,3655
1400000US24001000800,2064,168,2232
1400000US24001001000,2156,245,2401
1400000US24001001100,1111,155,1266
1400000US24001001200,2878,143,3021
1400000US24001001300,2040,65,2105
1400000US24001001401,3515,287,3802
1400000US24001001402,1426,91,1517
1400000US24001001502,1832,70,1902
1400000US24001001503,1687,195,1882
1400000US24001001600,1538,79,1617
1400000US24001001700,4952,167,5119
1400000US24001001800,4411,225,4636
1400000US24001001900,2774,108,2882
1400000US24001002000,5490,302,5792
1400000US24001002100,2988,129,3117
1400000US24001002200,3619,153,3772
1400000US24003701101,3940,96,4036
1400000US24003701102,7347,833,8180
1400000US24003701200,8353,303,8656
1400000US24003701300,7591,126,7717
1400000US24003701400,3442,46,3488
1400000US24003702100,6844,262,7106
1400000US24003702204,4061,105,4166
1400000US24003702205,5463,222,5685
1400000US24003702206,6279,209,6488
1400000US24003702208,6726,274,7000
1400000US24003702209,4377,58,4435
1400000US24003702300,5399,142,5541
1400000US24003702402,5989,193,6182
1400000US24003702500,5137,792,5929
1400000US24003702601,5330,140,5470
1400000US24003702602,5661,119,5780
1400000US24003702701,3981,149,4130
1400000US24003702702,3695,20,3715
1400000US24003706101,3350,273,3623
1400000US24003706301,3977,256,4233
1400000US24003706302,2884,212,3096
1400000US24003706401,5905,1841,7746
1400000US24003706402,2648,379,3027
1400000US24003706500,4804,410,5214
1400000US24003706600,5037,323,5360
1400000US24003706700,821,23,844
1400000US24003707001,5918,296,6214
1400000US24003707002,4797,69,4866
1400000US24003708001,3623,115,3738
1400000US24003708004,5725,253,5978
1400000US24003730100,10394,307,10701
1400000US24003730203,4902,636,5538
1400000US24003730204,5793,191,5984
1400000US24003730300,3048,422,3470
1400000US24003730401,4979,283,5262
1400000US24003730402,5550,638,6188
1400000US24003730502,5532,346,5878
1400000US24003730504,6841,577,7418
1400000US24003730505,4256,401,4657
1400000US24003730506,3096,320,3416
1400000US24003730601,6904,89,6993
1400000US24003730603,2961,72,3033
1400000US24003730604,7077,89,7166
1400000US24003730700,7207,243,7450
1400000US24003730800,2371,92,2463
1400000US24003730901,2467,16,2483
1400000US24003730902,4004,86,4090
1400000US24003731002,3303,268,3571
1400000US24003731003,4085,62,4147
1400000US24003731004,4204,145,4349
1400000US24003731102,7334,272,7606
1400000US24003731103,5023,233,5256
1400000US24003731104,4024,275,4299
1400000US24003731105,3382,130,3512
1400000US24003731201,6281,126,6407
1400000US24003731202,7468,377,7845
1400000US24003731203,6920,159,7079
1400000US24003731204,5863,372,6235
1400000US24003731303,6539,253,6792
1400000US24003731306,5658,233,5891
1400000US24003731307,6099,383,6482
1400000US24003731308,3730,153,3883
1400000US24003731309,5606,230,5836
1400000US24003731310,5213,353,5566
1400000US24003731311,7663,304,7967
1400000US24003740102,9630,542,10172
1400000US24003740103,8201,315,8516
1400000US24003740104,8093,321,8414
1400000US24003740105,3288,436,3724
1400000US24003740201,6993,465,7458
1400000US24003740203,6057,271,6328
1400000US24003740303,4085,418,4503
1400000US24003740304,4871,173,5044
1400000US24003740305,10568,731,11299
1400000US24003740400,0,0,0
1400000US24003740500,9806,841,10647
1400000US24003740601,3154,77,3231
1400000US24003740602,2679,123,2802
1400000US24003740603,1180,33,1213
1400000US24003740701,5365,249,5614
1400000US24003740702,9317,113,9430
1400000US24003740800,4364,163,4527
1400000US24003740900,7093,633,7726
1400000US24003741000,2319,89,2408
1400000US24003750101,3930,338,4268
1400000US24003750102,2652,233,2885
1400000US24003750201,2591,445,3036
1400000US24003750202,3221,173,3394
1400000US24003750203,1036,40,1076
1400000US24003750300,2761,192,2953
1400000US24003750400,3791,148,3939
1400000US24003750801,5952,397,6349
1400000US24003750803,6794,742,7536
1400000US24003750804,3382,194,3576
1400000US24003750900,2698,243,2941
1400000US24003751000,3707,467,4174
1400000US24003751102,3659,199,3858
1400000US24003751103,4667,416,5083
1400000US24003751200,3992,239,4231
1400000US24003751400,3537,327,3864
1400000US24003751500,6391,533,6924
1400000US24003751600,4894,153,5047
1400000US24003751700,2740,21,2761
1400000US24003980000,0,0,0
1400000US24003990000,0,0,0
1400000US24005400100,4377,109,4486
1400000US24005400200,2029,249,2278
1400000US24005400400,5282,285,5567
1400000US24005400500,2516,9,2525
1400000US24005400600,2756,153,2909
1400000US24005400701,2667,238,2905
1400000US24005400702,1767,168,1935
1400000US24005400800,2314,218,2532
1400000US24005400900,1846,198,2044
1400000US24005401000,2125,33,2158
1400000US24005401101,5275,639,5914
1400000US24005401102,966,39,1005
1400000US24005401200,2711,167,2878
1400000US24005401301,3386,240,3626
1400000US24005401302,2525,203,2728
1400000US24005401400,1591,127,1718
1400000US24005401503,6373,96,6469
1400000US24005401504,5840,599,6439
1400000US24005401505,4239,105,4344
1400000US24005401506,4791,416,5207
1400000US24005401507,5213,907,6120
1400000US24005402201,3327,254,3581
1400000US24005402202,1398,122,1520
1400000US24005402302,5126,399,5525
1400000US24005402303,6070,562,6632
1400000US24005402304,3509,139,3648
1400000US24005402305,1841,290,2131
1400000US24005402306,3488,465,3953
1400000US24005402307,6035,182,6217
1400000US24005402403,1895,80,1975
1400000US24005402404,4949,345,5294
1400000US24005402405,3225,292,3517
1400000US24005402406,5540,552,6092
1400000US24005402407,1401,68,1469
1400000US24005402503,4671,278,4949
1400000US24005402504,4051,98,4149
1400000US24005402505,3700,164,3864
1400000US24005402506,4303,218,4521
1400000US24005402509,9177,425,9602
1400000US24005402602,1996,173,2169
1400000US24005402603,6115,334,6449
1400000US24005402604,5905,252,6157
1400000US24005403100,2117,165,2282
1400000US24005403201,3125,242,3367
1400000US24005403202,1951,216,2167
1400000US24005403300,2321,183,2504
1400000US24005403401,3310,59,3369
1400000US24005403402,5160,295,5455
1400000US24005403500,4964,151,5115
1400000US24005403601,4565,219,4784
1400000US24005403602,5870,94,5964
1400000US24005403701,6922,466,7388
1400000US24005403702,4439,660,5099
1400000US24005403801,1619,40,1659
1400000US24005403802,2721,104,2825
1400000US24005403803,3249,20,3269
1400000US24005404101,5548,172,5720
1400000US24005404102,5161,685,5846
1400000US24005404201,5691,533,6224
1400000US24005404202,7634,1606,9240
1400000US24005404402,6015,318,6333
1400000US24005404403,4289,628,4917
1400000US24005404404,4424,240,4664
1400000US24005404501,6347,658,7005
1400000US24005404502,3202,757,3959
1400000US24005404600,2681,171,2852
1400000US24005404800,1861,44,1905
1400000US24005404900,4125,115,4240
1400000US24005405000,4610,94,4704
1400000US24005406000,5631,381,6012
1400000US24005407001,2931,77,3008
1400000US24005407002,5717,129,5846
1400000US24005408100,5177,320,5497
1400000US24005408200,1844,45,1889
1400000US24005408302,2980,6,2986
1400000US24005408303,3239,122,3361
1400000US24005408304,5089,101,5190
1400000US24005408400,678,19,697
1400000US24005408502,4404,195,4599
1400000US24005408503,3149,397,3546
1400000US24005408505,3780,106,3886
1400000US24005408506,3839,692,4531
1400000US24005408507,5682,1070,6752
1400000US24005408601,3938,77,4015
1400000US24005408602,2041,69,2110
1400000US24005408702,2430,67,2497
1400000US24005408703,6234,161,6395
1400000US24005408704,5473,219,5692
1400000US24005408800,2555,77,2632
1400000US24005408900,2585,44,2629
