"GEO_ID","id",
"NAME","Geographic Area Name",
"B27001_001E","Estimate!!Total",
"B27001_001M","Margin of Error!!Total",
"B27001_002E","Estimate!!Total!!Male",
"B27001_002M","Margin of Error!!Total!!Male",
"B27001_003E","Estimate!!Total!!Male!!Under 6 years",
"B27001_003M","Margin of Error!!Total!!Male!!Under 6 years",
"B27001_004E","Estimate!!Total!!Male!!Under 6 years!!With health insurance coverage",
"B27001_004M","Margin of Error!!Total!!Male!!Under 6 years!!With health insurance coverage",
"B27001_005E","Estimate!!Total!!Male!!Under 6 years!!No health insurance coverage",
"B27001_005M","Margin of Error!!Total!!Male!!Under 6 years!!No health insurance coverage",
"B27001_006E","Estimate!!Total!!Male!!6 to 17 years",
"B27001_006M","Margin of Error!!Total!!Male!!6 to 17 years",
"B27001_007E","Estimate!!Total!!Male!!6 to 17 years!!With health insurance coverage",
"B27001_007M","Margin of Error!!Total!!Male!!6 to 17 years!!With health insurance coverage",
"B27001_008E","Estimate!!Total!!Male!!6 to 17 years!!No health insurance coverage",
"B27001_008M","Margin of Error!!Total!!Male!!6 to 17 years!!No health insurance coverage",
"B27001_009E","Estimate!!Total!!Male!!18 to 24 years",
"B27001_009M","Margin of Error!!Total!!Male!!18 to 24 years",
"B27001_010E","Estimate!!Total!!Male!!18 to 24 years!!With health insurance coverage",
"B27001_010M","Margin of Error!!Total!!Male!!18 to 24 years!!With health insurance coverage",
"B27001_011E","Estimate!!Total!!Male!!18 to 24 years!!No health insurance coverage",
"B27001_011M","Margin of Error!!Total!!Male!!18 to 24 years!!No health insurance coverage",
"B27001_012E","Estimate!!Total!!Male!!25 to 34 years",
"B27001_012M","Margin of Error!!Total!!Male!!25 to 34 years",
"B27001_013E","Estimate!!Total!!Male!!25 to 34 years!!With health insurance coverage",
"B27001_013M","Margin of Error!!Total!!Male!!25 to 34 years!!With health insurance coverage",
"B27001_014E","Estimate!!Total!!Male!!25 to 34 years!!No health insurance coverage",
"B27001_014M","Margin of Error!!Total!!Male!!25 to 34 years!!No health insurance coverage",
"B27001_015E","Estimate!!Total!!Male!!35 to 44 years",
"B27001_015M","Margin of Error!!Total!!Male!!35 to 44 years",
"B27001_016E","Estimate!!Total!!Male!!35 to 44 years!!With health insurance coverage",
