GEOID,insured12,uninsured12,total12,pct_ins12,insured17,uninsured17,total17,pct_ins17,pct_ins_chg,MHHI12,MHHI17
1400000US24001000100,3074,260,3334,0.9220155968806238,3147,341,3488,0.9022362385321101,-0.019779358348513743,45682,48125
1400000US24001000200,2500,278,2778,0.8999280057595392,2707,102,2809,0.963688145247419,0.06376013948787973,42712,49714
1400000US24001000300,2410,250,2660,0.9060150375939849,2287,168,2455,0.9315682281059063,0.025553190511921398,31806,45547
1400000US24001000400,2766,270,3036,0.9110671936758893,2634,148,2782,0.9468008626887131,0.03573366901282382,39583,44271
1400000US24001000500,2052,260,2312,0.8875432525951558,1935,270,2205,0.8775510204081632,-0.009992232186992522,28141,24470
1400000US24001000600,3028,271,3299,0.9178538951197333,2712,50,2762,0.9818971759594497,0.06404328083971644,45343,39865
1400000US24001000700,2877,559,3436,0.8373108265424912,3337,318,3655,0.9129958960328317,0.07568506949034048,27782,28853
1400000US24001000800,1841,197,2038,0.9033366045142296,2064,168,2232,0.9247311827956989,0.02139457828146929,30128,26990
1400000US24001001000,1673,563,2236,0.748211091234347,2156,245,2401,0.8979591836734694,0.14974809243912235,24558,24844
1400000US24001001100,1598,132,1730,0.923699421965318,1111,155,1266,0.8775671406003159,-0.046132281365002026,30273,35313
1400000US24001001200,2689,419,3108,0.8651866151866152,2878,143,3021,0.9526646805693479,0.08747806538273273,63885,66855
1400000US24001001300,1960,194,2154,0.9099350046425255,2040,65,2105,0.9691211401425178,0.0591861354999923,40772,48704
1400000US24001001401,3758,160,3918,0.9591628381827463,3515,287,3802,0.9245134139926354,-0.034649424190110856,60323,73115
1400000US24001001402,1344,126,1470,0.9142857142857143,1426,91,1517,0.9400131839156229,0.025727469629908684,47708,53393
1400000US24001001502,1816,142,1958,0.9274770173646578,1832,70,1902,0.9631966351209253,0.03571961775626753,53333,48409
1400000US24001001503,1785,174,1959,0.9111791730474732,1687,195,1882,0.8963868225292242,-0.014792350518249009,49081,47188
1400000US24001001600,1795,267,2062,0.8705140640155189,1538,79,1617,0.9511440940012369,0.080630029985718,44375,60455
1400000US24001001700,4073,291,4364,0.9333180568285976,4952,167,5119,0.9673764407110764,0.03405838388247884,37003,41237
1400000US24001001800,5124,542,5666,0.9043416872573244,4411,225,4636,0.9514667817083693,0.04712509445104485,27661,36290
1400000US24001001900,2215,304,2519,0.8793171893608575,2774,108,2882,0.9625260235947258,0.08320883423386838,49960,54338
1400000US24001002000,4824,438,5262,0.9167616875712656,5490,302,5792,0.9478591160220995,0.031097428450833853,52014,42427
1400000US24001002100,3331,398,3729,0.8932689729149906,2988,129,3117,0.958614051973051,0.06534507905806042,39677,46735
1400000US24001002200,3645,293,3938,0.925596749619096,3619,153,3772,0.9594379639448568,0.033841214325760816,39598,40915
1400000US24003701101,4124,140,4264,0.9671669793621013,3940,96,4036,0.9762140733399405,0.009047093977839205,111897,119801
1400000US24003701102,6717,809,7526,0.8925059792718576,7347,833,8180,0.8981662591687042,0.005660279896846587,91473,87878
1400000US24003701200,7674,613,8287,0.9260287196814287,8353,303,8656,0.9649953789279113,0.03896665924648257,91875,130036
1400000US24003701300,7366,322,7688,0.9581165452653486,7591,126,7717,0.983672411558896,0.025555866293547336,113542,119844
1400000US24003701400,3386,192,3578,0.946338736724427,3442,46,3488,0.9868119266055045,0.04047318988107751,125304,108438
1400000US24003702100,6080,65,6145,0.9894222945484134,6844,262,7106,0.9631297495074584,-0.026292545040954907,108214,123419
1400000US24003702204,4032,167,4199,0.9602286258633008,4061,105,4166,0.9747959673547768,0.014567341491475982,134891,138816
1400000US24003702205,4654,229,4883,0.953102600860127,5463,222,5685,0.9609498680738786,0.007847267213751619,96304,104795
1400000US24003702206,6229,679,6908,0.901708164447018,6279,209,6488,0.967786683107275,0.06607851866025705,94135,106642
1400000US24003702208,6620,657,7277,0.9097155421190051,6726,274,7000,0.9608571428571429,0.05114160073813778,100902,111057
1400000US24003702209,4163,188,4351,0.9567915421742128,4377,58,4435,0.9869222096956032,0.030130667521390375,138818,151944
1400000US24003702300,5453,225,5678,0.9603733709052483,5399,142,5541,0.9743728568850388,0.013999485979790505,125850,124158
1400000US24003702402,5549,361,5910,0.938917089678511,5989,193,6182,0.9687803299902944,0.029863240311783446,97481,107283
1400000US24003702500,5328,1362,6690,0.7964125560538117,5137,792,5929,0.8664192949907236,0.0700067389369119,70714,88482
1400000US24003702601,5184,202,5386,0.9624953583364277,5330,140,5470,0.9744058500914077,0.011910491754979935,97866,98953
1400000US24003702602,5569,353,5922,0.9403917595406958,5661,119,5780,0.9794117647058823,0.039020005165186555,126907,140712
